state,seed,method,theta,n_frag,top1,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P3,1,full,0.0,732,0.8041237113402062,OPTIMAL,0.6008771929824561,0.9415807560137457,0.7336010709504686,0.36893203883495146,0.3333333333333333,456,291,0.8403384573159891,0.9320175438596491,31,0.06798245614035092
P3,1,full,0.8472978603872034,732,0.8041237113402062,OPTIMAL,0.6067415730337079,0.9278350515463918,0.7336956521739132,0.3786407766990291,0.34972677595628415,445,291,0.8278462317136953,0.9370786516853933,28,0.06292134831460672
P3,1,full,1.7346010553881064,732,0.8041237113402062,OPTIMAL,0.6132723112128147,0.9209621993127147,0.7362637362637362,0.39805825242718446,0.3702185792349727,437,291,0.8185407160781083,0.9382151029748284,27,0.06178489702517165
P3,1,full,2.9444389791664394,732,0.8041237113402062,OPTIMAL,0.6393034825870647,0.8831615120274914,0.7417027417027416,0.4223300970873786,0.4057377049180328,402,291,0.7881343249784701,0.9577114427860697,17,0.04228855721393032
P3,1,full,4.595119850134589,732,0.8041237113402062,OPTIMAL,0.6871345029239766,0.8075601374570447,0.7424960505529226,0.45145631067961167,0.4576502732240437,342,291,0.6857725207569546,0.9766081871345029,8,0.023391812865497075
P3,1,full,5.806138481293727,732,0.8041237113402062,OPTIMAL,0.7133105802047781,0.718213058419244,0.7157534246575343,0.441747572815534,0.4713114754098361,293,291,0.6072592307897317,0.9829351535836177,5,0.017064846416382284
P3,1,latent,-1.3862943611198906,732,0.8041237113402062,FEASIBLE,0.6191536748329621,0.9553264604810997,0.7513513513513513,0.4029126213592233,0.36475409836065575,449,291,0.8500413259570602,0.9376391982182628,28,0.062360801781737196
P3,1,latent,-0.6190392084062235,732,0.8041237113402062,OPTIMAL,0.6230248306997742,0.9484536082474226,0.7520435967302453,0.39805825242718446,0.3729508196721312,443,291,0.8532604594644525,0.9503386004514672,22,0.04966139954853277
P3,1,latent,0.0,732,0.8041237113402062,OPTIMAL,0.6284403669724771,0.9415807560137457,0.7537826685006879,0.41262135922330095,0.38524590163934425,436,291,0.8499193224739603,0.9564220183486238,19,0.04357798165137616
P3,1,latent,0.8472978603872034,732,0.8041237113402062,OPTIMAL,0.6350710900473934,0.9209621993127147,0.7517531556802244,0.41262135922330095,0.39617486338797814,422,291,0.8281845720403905,0.957345971563981,18,0.042654028436018954
P3,1,latent,1.7346010553881064,732,0.8041237113402062,OPTIMAL,0.6523929471032746,0.8900343642611683,0.752906976744186,0.4320388349514563,0.4275956284153005,397,291,0.8006295791452795,0.9672544080604534,13,0.032745591939546626
P3,1,latent,2.9444389791664394,732,0.8041237113402062,OPTIMAL,0.6722222222222223,0.8316151202749141,0.7434715821812597,0.42718446601941745,0.4344262295081967,360,291,0.7411506251966323,0.9777777777777777,8,0.022222222222222254
P3,1,latent,4.595119850134589,732,0.8041237113402062,OPTIMAL,0.7368421052631579,0.7216494845360825,0.7291666666666666,0.441747572815534,0.48770491803278687,285,291,0.6239775230951352,0.9929824561403509,2,0.007017543859649145
P3,1,latent,5.806138481293727,732,0.8041237113402062,OPTIMAL,0.7577092511013216,0.5910652920962199,0.6640926640926641,0.4029126213592233,0.49453551912568305,227,291,0.49276069771908415,0.9955947136563876,1,0.004405286343612369
P3,2,full,-1.3862943611198906,697,0.7958477508650519,OPTIMAL,0.6301369863013698,0.9550173010380623,0.7592847317744154,0.4943820224719101,0.430416068866571,438,289,0.8552765701673732,0.906392694063927,41,0.09360730593607303
