idx,ari,f1,exact,top1,face_loss_mm,pullout_mean_mm,face_texture_noise,p_gap,p_fragment_lost,breaks_per_slip,hand_accuracy,notch_sigma_mm,notch_tol_mm,width_tol_mm
52,0.6083239460786142,0.5681818181818182,0.44642857142857145,0.7105263157894737,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.5071857025846839,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
53,0.6692841390629581,0.6783625730994153,0.5263157894736842,0.7530864197530864,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.2003898037876934,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
54,0.6387802117496079,0.6666666666666666,0.417910447761194,0.6979166666666666,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.7823405377566814,0.6841186115145683,1.11775745684281,23.68429919332266,0.4627806136384606
55,0.6474781851172773,0.6666666666666666,0.43548387096774194,0.7159090909090909,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.8532377357780934,1.11775745684281,23.68429919332266,0.4627806136384606
56,0.659105717708757,0.7135135135135134,0.5483870967741935,0.7159090909090909,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,0.2061130551621318,23.68429919332266,0.4627806136384606
57,0.661071022929332,0.7027027027027026,0.4838709677419355,0.7159090909090909,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,27.584772437810898,0.4627806136384606
58,0.6572456897322845,0.6881720430107526,0.46774193548387094,0.7159090909090909,1.1174012677744032,0.6883148195687682,0.3723718578927218,0.3879690404981374,0.17082742924802005,1.5774927290156482,0.6841186115145683,1.11775745684281,23.68429919332266,0.5489734652452171
59,0.5738097670192044,0.6792452830188679,0.4909090909090909,0.6933333333333334,1.0727776513434946,0.7765407200902701,0.4305443258956074,0.5071857025846839,0.2003898037876934,1.7823405377566814,0.8532377357780934,0.2061130551621318,27.584772437810898,0.5489734652452171
60,0.7595063605404104,0.7911111111111111,0.45081967213114754,0.867579908675799,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
61,0.7606009653022185,0.7637969094922739,0.4098360655737705,0.8812785388127854,0.41632454227656124,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
62,0.7624934477899481,0.7982261640798227,0.47540983606557374,0.8584474885844748,0.9577847131527961,1.572372897202149,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
63,0.7755224699188737,0.7982261640798227,0.47540983606557374,0.91324200913242,0.9577847131527961,1.2909483655355871,0.12650262443348764,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
64,0.753405637240306,0.8151260504201682,0.4957983193277311,0.868,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.1632329011335969,0.09662405281327666,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
65,0.7479288667657721,0.7751937984496124,0.3409090909090909,0.8537549407114624,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.026446947054937484,3.129447439685464,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
66,0.7968634234704701,0.7664041994750656,0.46534653465346537,0.8776595744680851,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,2.5986124006099995,0.9564842782914638,0.4967583149671555,11.429149456322193,0.8681789278984069
67,0.7052908051961778,0.7899543378995434,0.45901639344262296,0.863013698630137,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.7047471144795417,0.4967583149671555,11.429149456322193,0.8681789278984069
68,0.7396858376716983,0.7647058823529412,0.4098360655737705,0.867579908675799,0.9577847131527961,1.2909483655355871,0.22758317831903696,0.3161002901382744,0.09662405281327666,3.129447439685464,0.9564842782914638,1.1917118933051825,11.429149456322193,0.8681789278984069
