tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,theta_at_edge,solve_s,status,n_arcs,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,full_no_notch,0.0,False,2.0205488204956055,OPTIMAL,1966,0.6513513513513514,0.9111531190926276,0.7596532702915682,0.3981191222570533,0.3739424703891709,740,529,0.7905890551081839,0.8918918918918919,80,0.10810810810810811
ablation,P3,4,1182,529,0.7372400756143668,0.8960302457466919,0.9848771266540642,0.6181474480151229,full_no_hand,-2.197224577336219,True,180.3929407596588,FEASIBLE,4878,0.6175710594315246,0.9035916824196597,0.7336914811972371,0.36363636363636365,0.31725888324873097,774,529,0.7447154516521314,0.8397932816537468,124,0.16020671834625322
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,latent,0.0,False,180.33566522598267,FEASIBLE,3735,0.6071428571428571,0.7984344422700587,0.6897717666948435,0.3558282208588957,0.34833333333333333,672,511,0.711969389480805,0.8839285714285714,78,0.1160714285714286
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,no_length,0.8472978603872034,False,180.15145444869995,FEASIBLE,2653,0.5314591700133868,0.776908023483366,0.6311605723370428,0.22392638036809817,0.24166666666666667,747,511,0.5769726723585464,0.7751004016064257,168,0.22489959839357432
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,no_notch,-0.8472978603872036,False,180.25617790222168,FEASIBLE,5620,0.557980900409277,0.8003913894324853,0.657556270096463,0.3159509202453988,0.2941666666666667,733,511,0.6897465890493708,0.8294679399727148,125,0.17053206002728516
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,no_width,-1.3862943611198906,False,180.3993694782257,FEASIBLE,15806,0.5718270571827058,0.8023483365949119,0.6677524429967426,0.3312883435582822,0.30833333333333335,717,511,0.6719689040460491,0.8242677824267782,126,0.17573221757322177
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,no_strat,2.9444389791664394,False,180.27413058280945,FEASIBLE,5318,0.47892074198988194,0.5557729941291585,0.5144927536231884,0.2085889570552147,0.25166666666666665,593,511,0.4383790392357212,0.6610455311973018,201,0.3389544688026982
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,no_hand,1.7346010553881064,False,180.14589619636536,FEASIBLE,1616,0.5865237366003063,0.7495107632093934,0.6580756013745706,0.34049079754601225,0.33166666666666667,653,511,0.6172885257915469,0.8147013782542113,121,0.1852986217457887
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,full,1.7346010553881064,False,6.799248695373535,OPTIMAL,1584,0.5777126099706745,0.7710371819960861,0.6605196982397318,0.3220858895705521,0.31416666666666665,682,511,0.6595079952835953,0.8328445747800587,114,0.1671554252199413
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,full_no_notch,1.7346010553881064,False,1.2303948402404785,OPTIMAL,1584,0.5670553935860059,0.761252446183953,0.6499582289055973,0.3128834355828221,0.3075,686,511,0.6463038964134106,0.8206997084548106,123,0.17930029154518945
ablation,P4,0,1200,511,0.5185909980430529,0.7397260273972602,0.9393346379647749,0.6516634050880626,full_no_hand,1.7346010553881064,False,3.9253504276275635,OPTIMAL,1616,0.5537313432835821,0.726027397260274,0.628281117696867,0.3098159509202454,0.30333333333333334,670,511,0.5800250705360075,0.7761194029850746,150,0.22388059701492535
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,latent,0.0,False,180.28850173950195,FEASIBLE,3496,0.569620253164557,0.7708779443254818,0.6551410373066425,0.30434782608695654,0.313588850174216,632,467,0.7185935176499104,0.8734177215189873,80,0.12658227848101267
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,no_length,0.8472978603872034,False,180.12031984329224,FEASIBLE,2535,0.5043352601156069,0.7473233404710921,0.6022433132010354,0.19875776397515527,0.23519163763066203,692,467,0.5745800205334409,0.7875722543352601,147,0.21242774566473988
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,no_notch,-0.8472978603872036,False,180.20100235939026,FEASIBLE,5280,0.5413642960812772,0.7987152034261242,0.6453287197231834,0.27639751552795033,0.2682926829268293,689,467,0.7143490550466272,0.8330914368650217,115,0.16690856313497826
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,no_width,-1.3862943611198906,False,180.36160826683044,FEASIBLE,14514,0.5348148148148149,0.7730192719486081,0.6322241681260946,0.30434782608695654,0.2761324041811847,675,467,0.6747187332225314,0.8177777777777778,123,0.18222222222222217
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,no_strat,2.9444389791664394,False,180.21962714195251,FEASIBLE,4665,0.45286506469500926,0.5246252676659529,0.48611111111111116,0.2360248447204969,0.2613240418118467,541,467,0.38277367989653155,0.6377079482439926,196,0.3622920517560074
ablation,P4,1,1148,467,0.4989293361884368,0.7366167023554604,0.9357601713062098,0.6616702355460385,no_hand,1.7346010553881064,False,37.23249292373657,OPTIMAL,1510,0.5609348914858097,0.7194860813704497,0.6303939962476547,0.2919254658385093,0.30923344947735193,599,467,0.6065794619154792,0.8163606010016694,110,0.1836393989983306
